type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheight,desc,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,dir
WAYPOINT,REIlee02DfishE,-17.046486,-149.548122,-17.046486,-149.548122,2023-09-28T02:38,,Flag, Blue,,,,3.770288,,,2023/09/28 02:38:19+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 03:38:19,,,,,,,,,,,
WAYPOINT,REIlee02D,-17.046255,-149.547994,-17.046255,-149.547994,2023-09-28T02:34,,Flag, Blue,,,,6.30804,,,2023/09/28 02:34:12+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 03:34:12,,,,,,,,,,,
WAYPOINT,REIlee02DfishS,-17.046255,-149.548015,-17.046255,-149.548015,2023-09-28T02:32,,Flag, Blue,,,,6.743219,,,2023/09/28 02:32:12+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 03:32:12,,,,,,,,,,,
WAYPOINT,REIlee02C,-17.046307,-149.54791,-17.046307,-149.54791,2023-09-28T02:27,,Flag, Blue,,,,6.481689,,,2023/09/28 02:27:09+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 03:27:09,,,,,,,,,,,
WAYPOINT,REIlee02B,-17.046336,-149.547836,-17.046336,-149.547836,2023-09-28T02:25,,Flag, Blue,,,,8.926112,,,2023/09/28 02:25:06+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 03:25:06,,,,,,,,,,,
WAYPOINT,REIlee02A,-17.046359,-149.547759,-17.046359,-149.547759,2023-09-28T02:20,,Flag, Blue,,,,3.196176,,,2023/09/28 02:20:36+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 03:20:36,,,,,,,,,,,
WAYPOINT,REIlee01EfishE,-17.047072,-149.548119,-17.047072,-149.548119,2023-09-28T02:06,,Flag, Blue,,,,12.035054,,,2023/09/28 02:06:40+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 03:06:40,,,,,,,,,,,
WAYPOINT,REIlee01EfishS,-17.04679,-149.548074,-17.04679,-149.548074,2023-09-28T02:01,,Flag, Blue,,,,7.819409,,,2023/09/28 02:01:32+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 03:01:32,,,,,,,,,,,
WAYPOINT,RElee01D,-17.046849,-149.547922,-17.046849,-149.547922,2023-09-28T01:50,,Flag, Blue,,,,6.147659,,,2023/09/28 01:50:43+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 02:50:43,,,,,,,,,,,
WAYPOINT,REIlee01C,-17.046878,-149.547819,-17.046878,-149.547819,2023-09-28T01:45,,Flag, Blue,,,,9.020536,,,2023/09/28 01:45:31+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 02:45:31,,,,,,,,,,,
WAYPOINT,REIlee01B,-17.04687,-149.54778,-17.04687,-149.54778,2023-09-28T01:42,,Flag, Blue,,,,8.828831,,,2023/09/28 01:42:36+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 02:42:36,,,,,,,,,,,
WAYPOINT,REIlee01A,-17.046861,-149.547659,-17.046861,-149.547659,2023-09-28T01:39,,Flag, Blue,,,,9.263881,,,2023/09/28 01:39:09+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 02:39:09,,,,,,,,,,,
WAYPOINT,AIElee03BfishE,-17.009022,-149.535693,-17.009022,-149.535693,2023-09-28T00:12,,Flag, Blue,,,,-0.649811,,,2023/09/28 00:12:33+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 01:12:33,,,,,,,,,,,
WAYPOINT,AIElee03D,-17.009065,-149.536015,-17.009065,-149.536015,2023-09-28T00:04,,Flag, Blue,,,,9.100598,,,2023/09/28 00:04:10+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 01:04:10,,,,,,,,,,,
